# venue: binance
# source: https://fapi.binance.com/fapi/v1/fundingRate
# fetched_at: 2026-08-10T17:53:40Z
# caveat: Historical funding from the source venue (public, free). Cross-venue proxy for Coinbase-INTX funding; rates correlate but are not identical. ts=epoch seconds UTC. OI not available historically.
ts,coin,venue,funding_rate,funding_annualized,mark_price,open_interest,source
1714348800,ARB,binance,0.0001,0.1095,1.1008,,https://fapi.binance.com/fapi/v1/fundingRate
1714377600,ARB,binance,0.0001,0.1095,1.059,,https://fapi.binance.com/fapi/v1/fundingRate
1714406400,ARB,binance,2.952e-05,0.032324399999999996,1.06301023,,https://fapi.binance.com/fapi/v1/fundingRate
1714435200,ARB,binance,-7.96e-06,-0.0087162,1.0571,,https://fapi.binance.com/fapi/v1/fundingRate
1714464000,ARB,binance,0.0001,0.1095,1.03690431,,https://fapi.binance.com/fapi/v1/fundingRate
1714492800,ARB,binance,3.031e-05,0.03318945,0.99195222,,https://fapi.binance.com/fapi/v1/fundingRate
1714521600,ARB,binance,-0.00012355,-0.13528725,1.02190395,,https://fapi.binance.com/fapi/v1/fundingRate
1714550400,ARB,binance,-6.31e-06,-0.006909449999999999,0.99288662,,https://fapi.binance.com/fapi/v1/fundingRate
1714579200,ARB,binance,0.0001,0.1095,1.01475692,,https://fapi.binance.com/fapi/v1/fundingRate
1714608000,ARB,binance,0.0001,0.1095,1.02918251,,https://fapi.binance.com/fapi/v1/fundingRate
1714636800,ARB,binance,6.194e-05,0.0678243,1.008,,https://fapi.binance.com/fapi/v1/fundingRate
1714665600,ARB,binance,-2.462e-05,-0.0269589,1.0349,,https://fapi.binance.com/fapi/v1/fundingRate
1714694400,ARB,binance,8.46e-05,0.092637,1.0282,,https://fapi.binance.com/fapi/v1/fundingRate
1714723200,ARB,binance,8.958e-05,0.09809010000000001,1.02036528,,https://fapi.binance.com/fapi/v1/fundingRate
1714752000,ARB,binance,0.0001,0.1095,1.0617,,https://fapi.binance.com/fapi/v1/fundingRate
1714780800,ARB,binance,0.0001,0.1095,1.06460481,,https://fapi.binance.com/fapi/v1/fundingRate
1714809600,ARB,binance,0.0001,0.1095,1.0597,,https://fapi.binance.com/fapi/v1/fundingRate
1714838400,ARB,binance,0.0001,0.1095,1.06798259,,https://fapi.binance.com/fapi/v1/fundingRate
