datetime_utc,open,high,low,close,volume
2025-12-17 09:00,86360.02,86573.7,86220.86,86389.98,95.5622029
2025-12-17 10:00,86388,86805.92,86200.01,86594.49,127.46363508
2025-12-17 11:00,86594.48,87114.49,86529.51,86961.86,126.28585218
2025-12-17 12:00,86956.02,87199.21,86800.01,86995.93,182.99472352
2025-12-17 13:00,86994,87823,86778.45,87598,357.49709733
2025-12-17 14:00,87594,89671.32,87150.01,89658,1416.00699266
2025-12-17 15:00,89644.07,90336.36,87090,87197.29,2017.19219639
2025-12-17 16:00,87192.13,87734,86111,86954,1026.59764731
2025-12-17 17:00,86954.01,87095.96,86226.63,86393.49,436.79321963
2025-12-17 18:00,86393.48,86811.75,85611.18,85779.78,477.54098364
2025-12-17 19:00,85784.51,86151.79,85267.69,85980,601.59198322
2025-12-17 20:00,85981.99,86220.23,85610.5,85857.38,780.83183909
2025-12-17 21:00,85857.39,86024,85627.17,85945.98,250.88024057
2025-12-17 22:00,85951.08,86397.33,85859.1,86313.99,280.53184643
2025-12-17 23:00,86312.33,86318,85878.82,86209.77,225.78393852
2025-12-18 00:00,86209.79,86286.17,86016.78,86200.95,150.01410467
2025-12-18 01:00,86200.95,86211.11,85823.16,86092.04,228.86224303
2025-12-18 02:00,86092.05,86852,85974.01,86659.82,429.55656647
2025-12-18 03:00,86659.82,86666.15,86217.72,86578,263.34759492
2025-12-18 04:00,86578,86869.79,86554.5,86730.68,201.55727271
2025-12-18 05:00,86730.31,86737.52,86346.38,86406.1,264.10399464
2025-12-18 06:00,86406.1,86628.23,86369.98,86618.76,93.16748074
2025-12-18 07:00,86611.33,86846.27,86556.42,86798,77.22813591
2025-12-18 08:00,86798.01,87117.46,86652.54,86938.54,152.47242552
2025-12-18 09:00,86938.53,87357.13,86761.99,87238.17,90.82313479
2025-12-18 10:00,87244.01,87421,87171.54,87308.26,102.93722683
2025-12-18 11:00,87310.52,87322,87016.55,87228.34,74.59696907
2025-12-18 12:00,87233.12,87395.41,87067.41,87215.24,136.2366872
2025-12-18 13:00,87215.24,89166,87214.56,88796.9,1074.68638847
2025-12-18 14:00,88797.19,89447.75,87666.98,88298.35,968.56075741
2025-12-18 15:00,88298.35,89317.33,87913.81,88451.99,707.22334896
2025-12-18 16:00,88448.63,88485.6,87804.88,87946.09,490.29397802
2025-12-18 17:00,87952,87970,85412.09,86425.66,1074.18931382
2025-12-18 18:00,86425.66,86835.32,85650,85933.99,534.26055416
2025-12-18 19:00,85926.02,85975.79,84432.2,84433.02,1006.71173028
2025-12-18 20:00,84433.01,85226.38,84400,84558.65,645.85898633
2025-12-18 21:00,84544,85791.41,84521.26,85579.45,592.78700478
2025-12-18 22:00,85583.26,85712,85230.87,85534,239.32630842
2025-12-18 23:00,85534,85580,85261.8,85460.02,241.94187279
2025-12-19 00:00,85460.85,85567.63,85237.4,85562.84,182.85359672
2025-12-19 01:00,85561.2,85562.7,85052.78,85270.65,230.13477105
2025-12-19 02:00,85270.64,85891.26,85078,85589.93,233.50046654
2025-12-19 03:00,85595.36,87516.51,85556,86824.07,621.47776105
2025-12-19 04:00,86830.89,87339.02,86791.13,87042.12,309.09761738
2025-12-19 05:00,87042.13,87187.9,86605,87087.15,243.53519916
2025-12-19 06:00,87078.43,87430.94,86845.68,87420.68,142.28340103
2025-12-19 07:00,87430.95,88333.66,87418.76,87895.12,348.35809732
2025-12-19 08:00,87892.69,88165.62,87675.29,88041.99,171.64439876
2025-12-19 09:00,88041.98,88117.12,87841.43,88056.87,127.54887417
2025-12-19 10:00,88053.1,88273.5,87870.45,88226.02,186.19068191
2025-12-19 11:00,88226.02,88335.02,88091.8,88146.46,136.78067907
2025-12-19 12:00,88150.02,88249.71,87794.48,87812.04,251.88948022
2025-12-19 13:00,87812.04,88196.57,87752.69,87949.76,282.92489234
2025-12-19 14:00,87948.01,88487.63,87460.48,88126,775.43969052
2025-12-19 15:00,88121.54,89365.85,87647.47,87896.58,791.62360042
2025-12-19 16:00,87896.13,88846.47,87801.48,87918,558.08710551
2025-12-19 17:00,87917.9,88298,86789.24,86886,558.55908887
2025-12-19 18:00,86886.94,87422.17,86784.83,87091.68,346.8537685
2025-12-19 19:00,87091.68,88062,87054.33,87779.29,440.72883996
2025-12-19 20:00,87779.29,88336.69,87531.01,88021.73,618.84037304
2025-12-19 21:00,88035.56,88041.98,87737.78,87794.46,243.26171553
2025-12-19 22:00,87794.46,88375.35,87784,88294,138.76181428
2025-12-19 23:00,88294,88314.96,88086,88092.65,106.54200105
2025-12-20 00:00,88092.65,88150.16,87919.18,87966.64,112.36581288
2025-12-20 01:00,87966.63,88142.76,87966.63,88043.19,57.24854077
2025-12-20 02:00,88043.2,88284.03,87936.09,88168,90.45163722
2025-12-20 03:00,88168,88318.83,88132.95,88174.63,92.95395753
2025-12-20 04:00,88174.63,88299.99,88077.48,88261.04,74.17894864
2025-12-20 05:00,88258.02,88530.6,88227.78,88258.01,116.175697
2025-12-20 06:00,88258.01,88417.91,88236.07,88268.08,52.04483709
2025-12-20 07:00,88268.07,88297.79,88112.29,88245.89,78.6385017
2025-12-20 08:00,88244.01,88399.15,88213.64,88213.64,44.99800158
2025-12-20 09:00,88213.64,88314.67,88180.17,88186,34.64109767
2025-12-20 10:00,88186,88241.18,88081.98,88131.08,46.44612446
2025-12-20 11:00,88127.99,88278.43,88063,88238.01,43.23885586
2025-12-20 12:00,88238,88306.61,88140,88204.96,42.04810605
2025-12-20 13:00,88204.96,88312.91,87780,88228,144.35211776
2025-12-20 14:00,88231.08,88238.47,87967.27,88208,82.51860879
